traj_idx,method,ADE,RMSE,smooth,noisy_ADE,uncond_ADE,delta_ADE_vs_noisy,delta_ADE_vs_uncond,improved_vs_noisy,improved_vs_uncond
121,noisy_input,0.06543900072574615,0.07137785851955414,0.19479991495609283,0.06543900072574615,0.06267478317022324,0.0,0.0027642175555229187,0,0
122,noisy_input,0.067314513027668,0.07474789768457413,0.5100261569023132,0.067314513027668,0.06392703205347061,0.0,0.0033874809741973877,0,0
123,noisy_input,0.06365425139665604,0.06980235129594803,0.17862099409103394,0.06365425139665604,0.0620860680937767,0.0,0.0015681833028793335,0,0
124,noisy_input,0.07229502499103546,0.07947789877653122,0.17555390298366547,0.07229502499103546,0.06493774801492691,0.0,0.007357276976108551,0,0
125,noisy_input,0.0507008321583271,0.05799226090312004,0.3153918981552124,0.0507008321583271,0.04805511608719826,0.0,0.002645716071128845,0,0
126,noisy_input,0.0687909722328186,0.07765668630599976,0.29283303022384644,0.0687909722328186,0.06655819714069366,0.0,0.002232775092124939,0,0
127,noisy_input,0.05025341361761093,0.0581631101667881,0.16333498060703278,0.05025341361761093,0.04960797727108002,0.0,0.0006454363465309143,0,0
128,noisy_input,0.07547896355390549,0.08421705663204193,0.2059471160173416,0.07547896355390549,0.07467413693666458,0.0,0.0008048266172409058,0,0
129,noisy_input,0.0584014467895031,0.0626315027475357,0.2846340537071228,0.0584014467895031,0.051345743238925934,0.0,0.007055703550577164,0,0
130,noisy_input,0.06082163378596306,0.06922893226146698,0.24782146513462067,0.06082163378596306,0.06087726354598999,0.0,-5.562976002693176e-05,0,1
131,noisy_input,0.0703960657119751,0.07499675452709198,0.3548932671546936,0.0703960657119751,0.06481794267892838,0.0,0.005578123033046722,0,0
132,noisy_input,0.057657770812511444,0.0630909726023674,0.14972493052482605,0.057657770812511444,0.05542869493365288,0.0,0.0022290758788585663,0,0
133,noisy_input,0.07890082895755768,0.08592783659696579,0.17625902593135834,0.07890082895755768,0.0755254477262497,0.0,0.0033753812313079834,0,0
134,noisy_input,0.06966028362512589,0.07659758627414703,0.18685060739517212,0.06966028362512589,0.06544259935617447,0.0,0.004217684268951416,0,0
135,noisy_input,0.06959477066993713,0.07729489356279373,0.1987147331237793,0.06959477066993713,0.07035399973392487,0.0,-0.0007592290639877319,0,1
136,noisy_input,0.07904346287250519,0.08483950793743134,0.20913536846637726,0.07904346287250519,0.08111713826656342,0.0,-0.0020736753940582275,0,1
137,noisy_input,0.06061019375920296,0.0663548931479454,0.13794785737991333,0.06061019375920296,0.06279843300580978,0.0,-0.0021882392466068268,0,1
138,noisy_input,0.07277632504701614,0.07930939644575119,0.20100384950637817,0.07277632504701614,0.07108217477798462,0.0,0.0016941502690315247,0,0
139,noisy_input,0.05832662433385849,0.06483396142721176,0.1707523912191391,0.05832662433385849,0.05905001237988472,0.0,-0.0007233880460262299,0,1
140,noisy_input,0.06620535999536514,0.07372128963470459,0.39643633365631104,0.06620535999536514,0.06203489378094673,0.0,0.004170466214418411,0,0
141,noisy_input,0.07058821618556976,0.07576961815357208,0.16859117150306702,0.07058821618556976,0.06695447117090225,0.0,0.003633745014667511,0,0
