method,degradation,metric,mean,std,min,max,median,p25,p75,n_trajectories,n_seeds,n_total
ddpm_v3_inpainting,missing_noise,off_map_ratio,0.012167968749999999,0.06837530785304753,0.0,0.6,0.0,0.0,0.0,1024,5,5120
linear_interp,missing_drift,ADE,0.0318831168115139,0.010053601115942001,0.006066800095140934,0.06455163657665253,0.031223684549331665,0.024089301005005836,0.038907915353775024,1024,1,1024
linear_interp,missing_drift,RMSE,0.03347019851207733,0.00973720196634531,0.006567712873220444,0.07206111401319504,0.03316425904631615,0.026281677186489105,0.03999968618154526,1024,1,1024
linear_interp,missing_drift,masked_ADE,0.031020694997096143,0.015530243752075405,0.0038311081007122993,0.13466526567935944,0.029359474778175354,0.0195277095772326,0.04004175867885351,1024,1,1024
linear_interp,missing_drift,masked_RMSE,0.022339615009741465,0.011057663152696259,0.002768422942608595,0.09760599583387375,0.02095878403633833,0.014383221976459026,0.028677355498075485,1024,1,1024
linear_interp,missing_drift,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
linear_interp,missing_drift,off_map_ratio,9.765625e-05,0.002207549717862758,0.0,0.05,0.0,0.0,0.0,1024,1,1024
savgol_w5_p2,missing_drift,ADE,0.03203427046537399,0.010000593028962612,0.006389599293470383,0.06460051238536835,0.0312531515955925,0.024310508742928505,0.03907293081283569,1024,1,1024
savgol_w5_p2,missing_drift,RMSE,0.03368755429983139,0.009689045138657093,0.007062841206789017,0.07181396335363388,0.033347971737384796,0.026658259332180023,0.040177762508392334,1024,1,1024
savgol_w5_p2,missing_drift,masked_ADE,0.030861829272907926,0.015319400211163665,0.0037537715397775173,0.13110637664794922,0.029131202958524227,0.01959941489621997,0.040007105097174644,1024,1,1024
savgol_w5_p2,missing_drift,masked_RMSE,0.022240936466232597,0.010927769078369821,0.0026894870679825544,0.0957794189453125,0.020940897054970264,0.014325466472655535,0.028568183537572622,1024,1,1024
savgol_w5_p2,missing_drift,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
savgol_w5_p2,missing_drift,off_map_ratio,9.765625e-05,0.002207549717862758,0.0,0.05,0.0,0.0,0.0,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,ADE,0.03708953782916069,0.011895556002855301,0.009283093735575676,0.12223273515701294,0.03571447730064392,0.029289759695529938,0.043744608759880066,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,RMSE,0.041637174785137177,0.01603792980313301,0.010141212493181229,0.18336327373981476,0.03934492915868759,0.03242875263094902,0.048181526362895966,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,masked_ADE,0.052292803587533854,0.03656231714844559,0.004802309907972813,0.3675181269645691,0.04472794383764267,0.029150204733014107,0.06616093404591084,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,masked_RMSE,0.039249517993539484,0.028185386830928645,0.003889052662998438,0.2845982611179352,0.03277466259896755,0.021458758041262627,0.050050320103764534,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,off_map_ratio,0.00034179687500000003,0.004675022047674239,0.0,0.1,0.0,0.0,0.0,1024,1,1024
ddpm_v1_masked_replace,missing_drift,ADE,0.0505850724875927,0.014957915060222149,0.018534021452069283,0.11255105584859848,0.04991960525512695,0.039871446788311005,0.059209950268268585,1024,1,1024
ddpm_v1_masked_replace,missing_drift,RMSE,0.06554435193538666,0.025995692238211632,0.022791560739278793,0.18191106617450714,0.060853343456983566,0.04638407751917839,0.08023671805858612,1024,1,1024
ddpm_v1_masked_replace,missing_drift,masked_ADE,0.12453046813243418,0.06517098177691319,0.013480160385370255,0.396638959646225,0.11400001123547554,0.0754200741648674,0.16296181082725525,1024,1,1024
ddpm_v1_masked_replace,missing_drift,masked_RMSE,0.08873096191109653,0.04626093452864796,0.011123462580144405,0.2815564274787903,0.08126706257462502,0.053714169189333916,0.1163185928016901,1024,1,1024
ddpm_v1_masked_replace,missing_drift,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
ddpm_v1_masked_replace,missing_drift,off_map_ratio,9.765625e-05,0.002207549717862758,0.0,0.05,0.0,0.0,0.0,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_drift,ADE,0.032542068511247635,0.010042217560112476,0.009486672468483448,0.06572550535202026,0.0319647379219532,0.025045007467269897,0.039347440004348755,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_drift,RMSE,0.034317150712013245,0.009888065047562122,0.01064868364483118,0.08207879215478897,0.033929504454135895,0.02720443531870842,0.04070306569337845,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_drift,masked_ADE,0.034315452923692646,0.01801425116555954,0.0031145713292062283,0.16079843044281006,0.031784480437636375,0.02157661272212863,0.04373202193528414,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_drift,masked_RMSE,0.02466042575179017,0.012811215154674652,0.0024142467882484198,0.11570324003696442,0.022881243377923965,0.015565331792458892,0.031109448987990618,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_drift,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_drift,off_map_ratio,9.765625e-05,0.002207549717862758,0.0,0.05,0.0,0.0,0.0,1024,1,1024
ddpm_v3_inpainting,missing_drift,ADE,0.1346290409564972,0.11552751064300537,0.008749947883188725,1.0920406579971313,0.09684373438358307,0.06174855679273605,0.16494254767894745,1024,5,5120
ddpm_v3_inpainting,missing_drift,RMSE,0.16782397031784058,0.15572653710842133,0.010584614239633083,1.4642934799194336,0.11589375138282776,0.06978674978017807,0.20761701464653015,1024,5,5120
ddpm_v3_inpainting,missing_drift,masked_ADE,0.12901669386155845,0.1181588438363912,0.004852055571973324,1.0817301273345947,0.09017553925514221,0.05490639619529247,0.16023027151823044,1024,5,5120
ddpm_v3_inpainting,missing_drift,masked_RMSE,0.10068639175815405,0.09315372734820299,0.0036791018210351467,0.8575525283813477,0.06987644731998444,0.04206849168986082,0.12541474774479866,1024,5,5120
ddpm_v3_inpainting,missing_drift,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,5,5120
ddpm_v3_inpainting,missing_drift,off_map_ratio,0.010966796875,0.0663232412888008,0.0,0.6,0.0,0.0,0.0,1024,5,5120
linear_interp,missing_noise_drift,ADE,0.047463275492191315,0.008815711364150047,0.027792787179350853,0.08021792024374008,0.046510256826877594,0.04105935990810394,0.052562013268470764,1024,1,1024
linear_interp,missing_noise_drift,RMSE,0.05263325572013855,0.009039790369570255,0.03134041652083397,0.0944082960486412,0.051909007132053375,0.04635850340127945,0.05807599425315857,1024,1,1024
linear_interp,missing_noise_drift,masked_ADE,0.042793647859070916,0.020396315184619936,0.005836426746100187,0.17022770643234253,0.04007003456354141,0.02804985037073493,0.05544757656753063,1024,1,1024
linear_interp,missing_noise_drift,masked_RMSE,0.031155444928117504,0.014303006379283393,0.00508655933663249,0.12194004654884338,0.02928408421576023,0.020643678028136492,0.03960180655121803,1024,1,1024
linear_interp,missing_noise_drift,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
linear_interp,missing_noise_drift,off_map_ratio,0.00014648437500000002,0.002702362129301116,0.0,0.05,0.0,0.0,0.0,1024,1,1024
savgol_w5_p2,missing_noise_drift,ADE,0.04216470569372177,0.009574448689818382,0.01901831291615963,0.07726830244064331,0.04094705730676651,0.03532835841178894,0.048088595271110535,1024,1,1024
savgol_w5_p2,missing_noise_drift,RMSE,0.04632797837257385,0.009807709604501724,0.02142293006181717,0.09239567816257477,0.04536460340023041,0.039259813725948334,0.052450984716415405,1024,1,1024
savgol_w5_p2,missing_noise_drift,masked_ADE,0.04411442247464947,0.020408882638242393,0.006952407769858837,0.1696133315563202,0.04123994521796703,0.029075182043015957,0.05675418581813574,1024,1,1024
savgol_w5_p2,missing_noise_drift,masked_RMSE,0.03229851678315754,0.014297362605019669,0.005496091675013304,0.12158671021461487,0.030295689590275288,0.02170012379065156,0.040734730660915375,1024,1,1024
savgol_w5_p2,missing_noise_drift,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
savgol_w5_p2,missing_noise_drift,off_map_ratio,0.00014648437500000002,0.002702362129301116,0.0,0.05,0.0,0.0,0.0,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,ADE,0.04892336577177048,0.011975621804594994,0.021569306030869484,0.11775444447994232,0.047570742666721344,0.04089862108230591,0.05554753169417381,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,RMSE,0.055829137563705444,0.016043271869421005,0.02615661919116974,0.18480518460273743,0.05339634418487549,0.04603640362620354,0.06324589997529984,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,masked_ADE,0.06970352898952115,0.04072931034650786,0.0073907217010855675,0.3583883047103882,0.06272870302200317,0.04253910295665264,0.08919801563024521,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,masked_RMSE,0.05161950331012122,0.030709659667914526,0.005499983672052622,0.2822471261024475,0.0461689718067646,0.03166838735342026,0.06538617052137852,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,off_map_ratio,0.00029296875,0.004409696056592046,0.0,0.1,0.0,0.0,0.0,1024,1,1024
