degradation,degradation_group,traj_idx,method,ADE,smooth,noisy_ADE,noisy_smooth,delta_ADE_vs_noisy,delta_smooth_vs_noisy,improved_ADE_vs_noisy,improved_smooth_vs_noisy
gaussian_medium,relative_observable,162,noisy_input,0.06918779015541077,0.1329507827758789,0.06918779015541077,0.1329507827758789,0.0,0.0,0,0
gaussian_medium,relative_observable,163,noisy_input,0.07299311459064484,0.17686158418655396,0.07299311459064484,0.17686158418655396,0.0,0.0,0,0
gaussian_medium,relative_observable,164,noisy_input,0.06470252573490143,0.161900594830513,0.06470252573490143,0.161900594830513,0.0,0.0,0,0
gaussian_medium,relative_observable,165,noisy_input,0.06595510989427567,0.3393206298351288,0.06595510989427567,0.3393206298351288,0.0,0.0,0,0
gaussian_medium,relative_observable,166,noisy_input,0.07392732799053192,0.19033850729465485,0.07392732799053192,0.19033850729465485,0.0,0.0,0,0
gaussian_medium,relative_observable,167,noisy_input,0.062389664351940155,0.36570456624031067,0.062389664351940155,0.36570456624031067,0.0,0.0,0,0
gaussian_medium,relative_observable,168,noisy_input,0.0670127123594284,0.23195475339889526,0.0670127123594284,0.23195475339889526,0.0,0.0,0,0
gaussian_medium,relative_observable,169,noisy_input,0.0525335893034935,0.14226745069026947,0.0525335893034935,0.14226745069026947,0.0,0.0,0,0
gaussian_medium,relative_observable,170,noisy_input,0.07352592051029205,0.18820954859256744,0.07352592051029205,0.18820954859256744,0.0,0.0,0,0
gaussian_medium,relative_observable,171,noisy_input,0.06817080080509186,0.28808867931365967,0.06817080080509186,0.28808867931365967,0.0,0.0,0,0
gaussian_medium,relative_observable,172,noisy_input,0.06448812782764435,0.46265363693237305,0.06448812782764435,0.46265363693237305,0.0,0.0,0,0
gaussian_medium,relative_observable,173,noisy_input,0.05530258268117905,0.1512354016304016,0.05530258268117905,0.1512354016304016,0.0,0.0,0,0
gaussian_medium,relative_observable,174,noisy_input,0.0680345892906189,0.18603399395942688,0.0680345892906189,0.18603399395942688,0.0,0.0,0,0
