degradation,method,conditional_source,N_trajectories,delta0_auto,selected_alpha0,selected_beta,selected_sigma0,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75,RMSE_mean,RMSE_std,smooth_acc_rms_mean,smooth_acc_rms_std,win_rate_vs_noisy,win_rate_vs_stage3_cond,win_rate_vs_formal_e1,motion_usage_ratio,noisy_reversion_gap,bias_offset_error
bias_medium,V1_abs_anchor_smooth,archived_original,200,0.1729253381490707,0.5,0.05,1.0,0.19117644913494586,0.09525411007493058,0.17672693729400635,0.02011985331773758,0.5544630289077759,0.11847495287656784,0.25518887490034103,0.19290470564737916,0.09546133669142663,0.08725534909870475,0.04946373768505619,0.0,0.44,0.39,3.0506953179395047,0.002180829644203186,0.18899554014205933
bias_medium,V2_uniform_cond_motion,archived_original,200,0.1729253381490707,0.5,0.05,1.0,0.1894304949324578,0.09550206443901689,0.17305748164653778,0.01936930976808071,0.5544999837875366,0.1172938384115696,0.254977323114872,0.18979587114416063,0.09543677522050592,0.14043257801793516,0.10851547619961335,0.0,0.48,0.435,1.480128797951988,0.00043487548828125,0.18899554014205933
bias_medium,V3_conf_mod_cond_motion,archived_original,200,0.1729253381490707,0.5,0.05,1.0,0.18975559255108237,0.09518287125099699,0.17310234904289246,0.01992928609251976,0.5544982552528381,0.11817527376115322,0.254977710545063,0.19029835391789673,0.09502065902685744,0.1310271927062422,0.09695787286423174,0.0,0.465,0.415,1.7200262068924237,0.0007599592208862305,0.18899554014205933
jump_medium,noisy_input,matched_protocol_recomputed,200,0.3028247952461242,0.5,0.05,1.0,0.2633684479258955,0.08900570592273585,0.266131266951561,0.04890738055109978,0.48623141646385193,0.20305301621556282,0.3371465355157852,0.3039983555674553,0.07002779179959177,0.3274511995539069,0.12887020198574295,1.0,0.255,0.14,,0.0,
jump_medium,stage3_cond_residual_t20,matched_protocol_recomputed,200,0.3028247952461242,0.5,0.05,1.0,0.24652286302298307,0.08240883364725572,0.24732446670532227,0.07137902826070786,0.456742525100708,0.18740199133753777,0.30720459669828415,0.279366164393723,0.07063953733763645,0.2572945923730731,0.12449875116074444,0.745,1.0,0.45,,-0.016845569014549255,
jump_medium,formal_e1_linear_gate,matched_protocol_recomputed,200,0.3028247952461242,0.5,0.05,1.0,0.24626389859244227,0.08575965088120378,0.25068505108356476,0.04807679355144501,0.45092955231666565,0.19236331433057785,0.3092386797070503,0.28447542946785687,0.06885434392963605,0.2804788265004754,0.12234221360005901,0.86,0.55,1.0,,-0.01710452139377594,
jump_medium,V1_abs_anchor_smooth,matched_protocol_recomputed,200,0.3028247952461242,0.5,0.05,1.0,0.2540943944081664,0.08646792548989637,0.2569698989391327,0.052424512803554535,0.4683291018009186,0.19314759597182274,0.3256258890032768,0.2923897470906377,0.07120024468510583,0.15451952777802944,0.04234442853349314,0.895,0.41,0.3,1.7771681223244167,-0.009274035692214966,
jump_medium,V2_uniform_cond_motion,matched_protocol_recomputed,200,0.3028247952461242,0.5,0.05,1.0,0.25244130728766323,0.08588356467950757,0.2553289830684662,0.053954727947711945,0.4568493366241455,0.19388126954436302,0.32382063567638397,0.28853528063744305,0.07009950609097718,0.2180848216637969,0.09113236450940158,0.945,0.425,0.345,1.1423327749507464,-0.01092711091041565,
jump_medium,V3_conf_mod_cond_motion,matched_protocol_recomputed,200,0.3028247952461242,0.5,0.05,1.0,0.25281018789857623,0.08580635173312287,0.25606442987918854,0.051575399935245514,0.4584539830684662,0.19311289489269257,0.3252759054303169,0.2892936697229743,0.07007058948352785,0.20770447961986066,0.08274441105349249,0.94,0.42,0.34,1.2233943866746737,-0.010558247566223145,
combined_medium,noisy_input,matched_protocol_recomputed,200,0.1881377846002578,0.5,0.05,1.0,0.19906376529484987,0.08674738569816912,0.17769387364387512,0.06503268331289291,0.46724629402160645,0.1337735801935196,0.2564881145954132,0.20530211247503757,0.08480337313103879,0.2613169875741005,0.11570444742545041,1.0,0.475,0.365,,0.0,
combined_medium,stage3_cond_residual_t20,matched_protocol_recomputed,200,0.1881377846002578,0.5,0.05,1.0,0.19742934755980968,0.09009167794405142,0.1748717948794365,0.041324079036712646,0.4757230877876282,0.13107502460479736,0.25557541102170944,0.20076545659452677,0.08898435384999327,0.20164957989007234,0.1335409194937544,0.525,1.0,0.415,,-0.0016344040632247925,
combined_medium,formal_e1_linear_gate,matched_protocol_recomputed,200,0.1881377846002578,0.5,0.05,1.0,0.19420388029888272,0.08964599055840755,0.17031995207071304,0.05562698841094971,0.47272205352783203,0.12848557904362679,0.2531992942094803,0.19846601521596313,0.08799669236232951,0.2208421852439642,0.12660639265193396,0.635,0.585,1.0,,-0.004859864711761475,
combined_medium,V1_abs_anchor_smooth,matched_protocol_recomputed,200,0.1881377846002578,0.5,0.05,1.0,0.1933827268332243,0.08719550084477361,0.1755029559135437,0.05312006548047066,0.46212702989578247,0.12873894721269608,0.25064629316329956,0.1987165518850088,0.08604538926543068,0.11797253312543035,0.0436045711598318,0.88,0.56,0.535,1.286917181558389,-0.005681037902832031,
combined_medium,V2_uniform_cond_motion,matched_protocol_recomputed,200,0.1881377846002578,0.5,0.05,1.0,0.1900177237391472,0.0883693287397823,0.17100580781698227,0.04586227983236313,0.4606934189796448,0.1244619358330965,0.24753181263804436,0.19358670383691787,0.0870027288107945,0.16885775728151203,0.09574875551331634,1.0,0.605,0.615,0.9971017597495367,-0.009046047925949097,
combined_medium,V3_conf_mod_cond_motion,matched_protocol_recomputed,200,0.1881377846002578,0.5,0.05,1.0,0.19089931067079305,0.08759283141358928,0.1713707372546196,0.04985187202692032,0.46056681871414185,0.12632623687386513,0.24778558313846588,0.19473091991618274,0.08607039359706532,0.15953025477007032,0.0838868278776504,0.995,0.59,0.58,1.0240131462722435,-0.008164450526237488,
