variant,alpha0,beta,sigma0,degradation,conditional_source,ADE_noisy,ADE_cond,ADE_e1,ADE_e2,improves_vs_e1,ADE_gain_vs_e1,six_ADE_improved_count,mean_ADE_gain_vs_e1_across_6,mean_ADE_e2_across_6
V2_uniform_cond_motion,0.2,0.01,1.0,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.018473241478204727,True,0.004798904061317444,4,0.0033178733040889106,0.12560995668172836
V2_uniform_cond_motion,0.2,0.01,1.0,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.05329392850399017,True,0.020628303289413452,4,0.0033178733040889106,0.12560995668172836
V2_uniform_cond_motion,0.2,0.01,1.0,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.18911436200141907,False,-0.0014700144529342651,4,0.0033178733040889106,0.12560995668172836
V2_uniform_cond_motion,0.2,0.01,1.0,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.25630083680152893,False,-0.010036930441856384,4,0.0033178733040889106,0.12560995668172836
V2_uniform_cond_motion,0.2,0.01,1.0,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19232577085494995,True,0.0018781274557113647,4,0.0033178733040889106,0.12560995668172836
V2_uniform_cond_motion,0.2,0.05,0.5,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.049040354788303375,False,-0.0007799044251441956,2,0.002828992592791716,0.12609883739302555
V2_uniform_cond_motion,0.2,0.05,0.5,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.020781131461262703,True,0.002491014078259468,2,0.002828992592791716,0.12609883739302555
V2_uniform_cond_motion,0.2,0.05,0.5,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.045344602316617966,True,0.02857762947678566,2,0.002828992592791716,0.12609883739302555
V2_uniform_cond_motion,0.2,0.05,0.5,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.189300537109375,False,-0.0016561895608901978,2,0.002828992592791716,0.12609883739302555
V2_uniform_cond_motion,0.2,0.05,0.5,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.25785964727401733,False,-0.011595740914344788,2,0.002828992592791716,0.12609883739302555
V2_uniform_cond_motion,0.2,0.05,0.5,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19426675140857697,False,-6.285309791564941e-05,2,0.002828992592791716,0.12609883739302555
V2_uniform_cond_motion,0.2,0.05,1.0,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04268256202340126,True,0.005577888339757919,3,0.0038178705920775733,0.1251099593937397
V2_uniform_cond_motion,0.2,0.05,1.0,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.02412765473127365,False,-0.0008555091917514801,3,0.0038178705920775733,0.1251099593937397
V2_uniform_cond_motion,0.2,0.05,1.0,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.0497748963534832,True,0.024147335439920425,3,0.0038178705920775733,0.1251099593937397
V2_uniform_cond_motion,0.2,0.05,1.0,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.1898520290851593,False,-0.0022076815366744995,3,0.0038178705920775733,0.1251099593937397
V2_uniform_cond_motion,0.2,0.05,1.0,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.25315266847610474,False,-0.00688876211643219,3,0.0038178705920775733,0.1251099593937397
V2_uniform_cond_motion,0.2,0.05,1.0,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19106994569301605,True,0.0031339526176452637,3,0.0038178705920775733,0.1251099593937397
V2_uniform_cond_motion,0.2,0.1,0.5,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04760345444083214,True,0.0006569959223270416,3,0.003292323090136051,0.12563550689568123
V2_uniform_cond_motion,0.2,0.1,0.5,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.024178804829716682,False,-0.0009066592901945114,3,0.003292323090136051,0.12563550689568123
V2_uniform_cond_motion,0.2,0.1,0.5,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.04285590350627899,True,0.031066328287124634,3,0.003292323090136051,0.12563550689568123
V2_uniform_cond_motion,0.2,0.1,0.5,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.18976199626922607,False,-0.002117648720741272,3,0.003292323090136051,0.12563550689568123
V2_uniform_cond_motion,0.2,0.1,0.5,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.2560732364654541,False,-0.009809330105781555,3,0.003292323090136051,0.12563550689568123
V2_uniform_cond_motion,0.2,0.1,0.5,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19333964586257935,True,0.0008642524480819702,3,0.003292323090136051,0.12563550689568123
V2_uniform_cond_motion,0.2,0.1,1.0,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.0435531809926033,True,0.004707269370555878,3,0.003305833786725998,0.12562199619909128
V2_uniform_cond_motion,0.2,0.1,1.0,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.028834402561187744,False,-0.005562257021665573,3,0.003305833786725998,0.12562199619909128
V2_uniform_cond_motion,0.2,0.1,1.0,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.048985470086336136,True,0.02493676170706749,3,0.003305833786725998,0.12562199619909128
V2_uniform_cond_motion,0.2,0.1,1.0,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.19078928232192993,False,-0.0031449347734451294,3,0.003305833786725998,0.12562199619909128
V2_uniform_cond_motion,0.2,0.1,1.0,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.25090208649635315,False,-0.004638180136680603,3,0.003305833786725998,0.12562199619909128
V2_uniform_cond_motion,0.2,0.1,1.0,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.1906675547361374,True,0.0035363435745239258,3,0.003305833786725998,0.12562199619909128
V2_uniform_cond_motion,0.2,0.2,0.5,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.047079600393772125,True,0.0011808499693870544,3,0.003169500889877478,0.12575832909593979
V2_uniform_cond_motion,0.2,0.2,0.5,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.028601767495274544,False,-0.005329621955752373,3,0.003169500889877478,0.12575832909593979
V2_uniform_cond_motion,0.2,0.2,0.5,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.04201023280620575,True,0.031911998987197876,3,0.003169500889877478,0.12575832909593979
V2_uniform_cond_motion,0.2,0.2,0.5,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.1906118541955948,False,-0.0029675066471099854,3,0.003169500889877478,0.12575832909593979
V2_uniform_cond_motion,0.2,0.2,0.5,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.2537711560726166,False,-0.007507249712944031,3,0.003169500889877478,0.12575832909593979
V2_uniform_cond_motion,0.2,0.2,0.5,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.192475363612175,True,0.0017285346984863281,3,0.003169500889877478,0.12575832909593979
V2_uniform_cond_motion,0.2,0.2,1.0,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04553361237049103,True,0.002726837992668152,3,0.002205943688750267,0.12672188629706702
V2_uniform_cond_motion,0.2,0.2,1.0,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.03438670560717583,False,-0.011114560067653656,3,0.002205943688750267,0.12672188629706702
V2_uniform_cond_motion,0.2,0.2,1.0,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.04941609874367714,True,0.024506133049726486,3,0.002205943688750267,0.12672188629706702
V2_uniform_cond_motion,0.2,0.2,1.0,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.19214174151420593,False,-0.00449739396572113,3,0.002205943688750267,0.12672188629706702
V2_uniform_cond_motion,0.2,0.2,1.0,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.24823711812496185,False,-0.0019732117652893066,3,0.002205943688750267,0.12672188629706702
V2_uniform_cond_motion,0.2,0.2,1.0,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19061604142189026,True,0.003587856888771057,3,0.002205943688750267,0.12672188629706702
V2_uniform_cond_motion,0.5,0.01,0.5,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04779088869690895,True,0.0004695616662502289,4,0.002067605343957742,0.12686022464185953
V2_uniform_cond_motion,0.5,0.01,0.5,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.01771143637597561,True,0.005560709163546562,4,0.002067605343957742,0.12686022464185953
V2_uniform_cond_motion,0.5,0.01,0.5,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.05449150130152702,True,0.019430730491876602,4,0.002067605343957742,0.12686022464185953
V2_uniform_cond_motion,0.5,0.01,0.5,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.1890358328819275,False,-0.001391485333442688,4,0.002067605343957742,0.12686022464185953
V2_uniform_cond_motion,0.5,0.01,0.5,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.25829529762268066,False,-0.012031391263008118,4,0.002067605343957742,0.12686022464185953
V2_uniform_cond_motion,0.5,0.01,0.5,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19383639097213745,True,0.00036750733852386475,4,0.002067605343957742,0.12686022464185953
V2_uniform_cond_motion,0.5,0.01,1.0,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04084813594818115,True,0.007412314414978027,4,0.003902400222917398,0.12502542976289988
V2_uniform_cond_motion,0.5,0.01,1.0,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.018357520923018456,True,0.0049146246165037155,4,0.003902400222917398,0.12502542976289988
V2_uniform_cond_motion,0.5,0.01,1.0,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.0565384179353714,True,0.017383813858032227,4,0.003902400222917398,0.12502542976289988
V2_uniform_cond_motion,0.5,0.01,1.0,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.18911691009998322,False,-0.001472562551498413,4,0.003902400222917398,0.12502542976289988
V2_uniform_cond_motion,0.5,0.01,1.0,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.25449684262275696,False,-0.008232936263084412,4,0.003902400222917398,0.12502542976289988
V2_uniform_cond_motion,0.5,0.01,1.0,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19079475104808807,True,0.003409147262573242,4,0.003902400222917398,0.12502542976289988
