degradation,conditional_source,delta0_label,delta0,gamma,trajectory_id,ADE_noisy,ADE_cond,ADE_gamma,win_vs_cond,win_vs_noisy,confidence_min,confidence_mean,confidence_max,lambda_mean,lambda_max
burst_medium,archived_original,default,0.0140544418245553,4,130,0.056760381907224655,0.06350459903478622,0.0390329584479332,True,True,9.07144016784741e-16,0.3519923686981201,0.7743832468986511,0.3278578519821167,1.0
burst_medium,archived_original,default,0.0140544418245553,4,131,0.11834840476512909,0.20040464401245117,0.10487707704305649,True,True,2.251207983876794e-21,0.3157992959022522,0.8399854898452759,0.37828052043914795,1.0
burst_medium,archived_original,default,0.0140544418245553,4,132,0.07456599175930023,0.07791388034820557,0.06820990145206451,True,True,2.302546987711235e-13,0.3550443947315216,0.6458341479301453,0.30182352662086487,1.0
burst_medium,archived_original,default,0.0140544418245553,4,133,0.09544985741376877,0.13250885903835297,0.09964777529239655,True,False,1.4682919869441095e-19,0.28198036551475525,0.7941083908081055,0.427849143743515,1.0
burst_medium,archived_original,default,0.0140544418245553,4,134,0.028182363137602806,0.02710876241326332,0.0202401801943779,True,True,4.377776349429041e-05,0.3489955961704254,0.9595730304718018,0.31797823309898376,0.9998250007629395
burst_medium,archived_original,default,0.0140544418245553,4,135,0.10603250563144684,0.11303655803203583,0.08469696342945099,True,True,8.78906158999497e-22,0.323621541261673,0.8039931654930115,0.3814202845096588,1.0
burst_medium,archived_original,default,0.0140544418245553,4,136,0.0487653985619545,0.06723307818174362,0.0456792414188385,True,True,4.588505964076006e-10,0.3105526566505432,0.7274088263511658,0.36253228783607483,1.0
burst_medium,archived_original,default,0.0140544418245553,4,137,0.09861442446708679,0.09034508466720581,0.07879792153835297,True,True,1.3250714593147195e-17,0.3240357041358948,0.7849646210670471,0.36069685220718384,1.0
burst_medium,archived_original,default,0.0140544418245553,4,138,0.05002585053443909,0.08954054117202759,0.04848306253552437,True,True,7.755666599120869e-15,0.338318794965744,0.6251567602157593,0.30727362632751465,1.0
burst_medium,archived_original,default,0.0140544418245553,4,139,0.059825994074344635,0.059032268822193146,0.05107982084155083,True,True,1.9708614948377168e-11,0.30883222818374634,0.6788281798362732,0.3664553761482239,1.0
burst_medium,archived_original,default,0.0140544418245553,4,140,0.07461898028850555,0.09000249207019806,0.0615876242518425,True,True,1.6754628825825513e-13,0.32952484488487244,0.8130377531051636,0.3814357817173004,1.0
burst_medium,archived_original,default,0.0140544418245553,4,141,0.0738467127084732,0.07729952037334442,0.058900587260723114,True,True,2.250342490475732e-12,0.2997044026851654,0.6198232173919678,0.38019371032714844,1.0
burst_medium,archived_original,default,0.0140544418245553,4,142,0.09376534074544907,0.1088685542345047,0.07611967623233795,True,True,5.07836872937205e-27,0.39631596207618713,0.8259438276290894,0.29172220826148987,1.0
burst_medium,archived_original,default,0.0140544418245553,4,143,0.032912321388721466,0.0365973636507988,0.019853975623846054,True,True,3.5203871107114537e-07,0.4204394221305847,0.9242362976074219,0.250955730676651,0.9999985694885254
