degradation,conditional_source,delta0_label,delta0,gamma,ADE_noisy,ADE_cond,ADE_gamma,RMSE_gamma,ADE_gamma_high,ADE_noisy_high,ADE_cond_high,ADE_gamma_mid,ADE_gamma_low,ADE_noisy_low,ADE_cond_low,C2_high_no_harm_pass,C3_low_preservation_pass,conditional_useful_low,win_rate_vs_cond,win_rate_vs_noisy,residual_usage_ratio,noisy_reversion_gap,N_high_frames,N_mid_frames,N_low_frames
burst_medium,archived_original,fixed_0.10,0.1,3,0.07475546002388,0.09188491106033325,0.06183159723877907,0.13044029474258423,0.012508281506597996,0.012544042430818081,0.05140586197376251,0.0804104208946228,0.27409809827804565,0.34373101592063904,0.2675136923789978,True,True,True,0.995,0.98,0.2799815237522125,-0.012923862785100937,3191,74,735
burst_medium,archived_original,fixed_0.10,0.1,4,0.07475546002388,0.09188491106033325,0.062286075204610825,0.13097944855690002,0.012536944821476936,0.012544042430818081,0.05140586197376251,0.08226637542247772,0.2762601375579834,0.34373101592063904,0.2675136923789978,True,True,True,0.99,0.985,0.264629065990448,-0.01246938481926918,3191,74,735
burst_medium,archived_original,fixed_0.20,0.2,1,0.07475546002388,0.09188491106033325,0.06224502623081207,0.13199260830879211,0.01248370110988617,0.01283473614603281,0.05158494785428047,0.1453312188386917,0.3335668444633484,0.41648733615875244,0.32342395186424255,True,True,True,0.995,0.985,0.30566129088401794,-0.012510433793067932,3213,285,502
burst_medium,archived_original,fixed_0.20,0.2,2,0.07475546002388,0.09188491106033325,0.06423913687467575,0.1349821537733078,0.012769623659551144,0.01283473614603281,0.05158494785428047,0.15425421297550201,0.342560350894928,0.41648733615875244,0.32342395186424255,True,True,True,0.96,0.99,0.21905052661895752,-0.010516323149204254,3213,285,502
burst_medium,archived_original,fixed_0.20,0.2,3,0.07475546002388,0.09188491106033325,0.06569322943687439,0.1376514583826065,0.012826481834053993,0.01283473614603281,0.05158494785428047,0.16028642654418945,0.35035815834999084,0.41648733615875244,0.32342395186424255,True,True,True,0.945,0.99,0.1814221739768982,-0.009062230587005615,3213,285,502
burst_medium,archived_original,fixed_0.20,0.2,4,0.07475546002388,0.09188491106033325,0.066814124584198,0.1399441957473755,0.012833413667976856,0.01283473614603281,0.05158494785428047,0.16411688923835754,0.35707056522369385,0.41648733615875244,0.32342395186424255,True,False,True,0.935,0.99,0.15541337430477142,-0.007941335439682007,3213,285,502
bias_medium,archived_original,default,0.1729253381490707,1,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.21010731160640717,0.0419577918946743,0.04233614355325699,0.04750465974211693,0.13393345475196838,0.2846246063709259,0.2880081236362457,0.2841569781303406,True,True,True,0.52,0.535,0.6178246736526489,-0.001351282000541687,220,2220,1560
bias_medium,archived_original,default,0.1729253381490707,2,0.1889956295490265,0.18886825442314148,0.18764549493789673,0.21010683476924896,0.04221038892865181,0.04233614355325699,0.04750465974211693,0.1335897594690323,0.28508105874061584,0.2880081236362457,0.2841569781303406,True,True,True,0.515,0.545,0.41439104080200195,-0.0013501346111297607,220,2220,1560
bias_medium,archived_original,default,0.1729253381490707,3,0.1889956295490265,0.18886825442314148,0.18782712519168854,0.21028774976730347,0.042306121438741684,0.04233614355325699,0.04750465974211693,0.13361456990242004,0.2854979932308197,0.2880081236362457,0.2841569781303406,True,True,True,0.515,0.555,0.29434776306152344,-0.0011685043573379517,220,2220,1560
bias_medium,archived_original,default,0.1729253381490707,4,0.1889956295490265,0.18886825442314148,0.18801994621753693,0.21049071848392487,0.042329493910074234,0.04233614355325699,0.04750465974211693,0.13370171189308167,0.28586503863334656,0.2880081236362457,0.2841569781303406,True,True,True,0.51,0.555,0.2181745171546936,-0.000975683331489563,220,2220,1560
bias_medium,archived_original,fixed_0.02,0.02,1,0.1889956295490265,0.18886825442314148,0.18873904645442963,0.21095839142799377,,,,0.015069414861500263,0.19049330055713654,0.19071035087108612,0.19059911370277405,False,True,True,0.715,0.49,0.9902302026748657,-0.0002565830945968628,0,40,3960
bias_medium,archived_original,fixed_0.02,0.02,2,0.1889956295490265,0.18886825442314148,0.1886587142944336,0.21092616021633148,,,,0.015898916870355606,0.1904037594795227,0.19071035087108612,0.19059911370277405,False,True,True,0.675,0.495,0.9820654392242432,-0.0003369152545928955,0,40,3960
bias_medium,archived_original,fixed_0.02,0.02,3,0.1889956295490265,0.18886825442314148,0.18859714269638062,0.21089863777160645,,,,0.01703691855072975,0.19033008813858032,0.19071035087108612,0.19059911370277405,False,True,True,0.645,0.5,0.9750412106513977,-0.000398486852645874,0,40,3960
bias_medium,archived_original,fixed_0.02,0.02,4,0.1889956295490265,0.18886825442314148,0.18854515254497528,0.21087431907653809,,,,0.01785368286073208,0.19026930630207062,0.19071035087108612,0.19059911370277405,False,True,True,0.63,0.5,0.9688534736633301,-0.0004504770040512085,0,40,3960
bias_medium,archived_original,fixed_0.05,0.05,1,0.1889956295490265,0.18886825442314148,0.18824763596057892,0.21066336333751678,,,,0.04040713235735893,0.1960287243127823,0.19681416451931,0.1964261829853058,False,True,True,0.55,0.51,0.9261389374732971,-0.0007479935884475708,0,200,3800
bias_medium,archived_original,fixed_0.05,0.05,2,0.1889956295490265,0.18886825442314148,0.18793335556983948,0.21043942868709564,,,,0.0398426279425621,0.19572760164737701,0.19681416451931,0.1964261829853058,False,True,True,0.535,0.525,0.8690427541732788,-0.0010622739791870117,0,200,3800
bias_medium,archived_original,fixed_0.05,0.05,3,0.1889956295490265,0.18886825442314148,0.187718003988266,0.21027572453022003,,,,0.03989970684051514,0.19549791514873505,0.19681416451931,0.1964261829853058,False,True,True,0.53,0.525,0.8225113153457642,-0.001277625560760498,0,200,3800
bias_medium,archived_original,fixed_0.05,0.05,4,0.1889956295490265,0.18886825442314148,0.18755771219730377,0.21015077829360962,,,,0.04004096984863281,0.19532175362110138,0.19681416451931,0.1964261829853058,False,True,True,0.53,0.535,0.7832942008972168,-0.0014379173517227173,0,200,3800
bias_medium,archived_original,fixed_0.10,0.1,1,0.1889956295490265,0.18886825442314148,0.187769815325737,0.21025536954402924,0.023087888956069946,0.02326970174908638,0.02763608656823635,0.09051162749528885,0.224211648106575,0.22694829106330872,0.22422970831394196,True,True,True,0.525,0.525,0.7837338447570801,-0.0012258142232894897,60,1000,2940
bias_medium,archived_original,fixed_0.10,0.1,2,0.1889956295490265,0.18886825442314148,0.18745972216129303,0.209980770945549,0.02327844314277172,0.02326970174908638,0.02763608656823635,0.08900478482246399,0.22429843246936798,0.22694829106330872,0.22422970831394196,True,True,True,0.52,0.54,0.6413285732269287,-0.0015359073877334595,60,1000,2940
bias_medium,archived_original,fixed_0.10,0.1,3,0.1889956295490265,0.18886825442314148,0.18737417459487915,0.2098909616470337,0.02328871749341488,0.02326970174908638,0.02763608656823635,0.08827434480190277,0.22443024814128876,0.22694829106330872,0.22422970831394196,True,True,True,0.52,0.545,0.5403972864151001,-0.0016214549541473389,60,1000,2940
