degradation,conditional_source,delta0_label,delta0,gamma,method,confidence_bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
gaussian_medium,archived_original,fixed_0.02,0.02,1,noisy,low,3563,0.068267364407791,0.02907196681092877,0.0636676698923111,0.02408016100525856,0.19743014872074127,0.04512957111001015,0.087156742811203
gaussian_medium,archived_original,fixed_0.02,0.02,1,cond_residual_t20,high,37,0.037377989146153666,0.020114269018717393,0.03491566330194473,0.00617403956130147,0.08774104714393616,0.022758372128009796,0.046815335750579834
gaussian_medium,archived_original,fixed_0.02,0.02,1,cond_residual_t20,mid,400,0.04484717663726769,0.02645283388218115,0.04056139849126339,0.0012751675676554441,0.1522614061832428,0.0242421249859035,0.06045431736856699
gaussian_medium,archived_original,fixed_0.02,0.02,1,cond_residual_t20,low,3563,0.057103496832433806,0.032050298749121554,0.05236388370394707,0.0012107033981010318,0.23924212157726288,0.033410634845495224,0.07534497603774071
gaussian_medium,archived_original,fixed_0.02,0.02,1,gamma_1,high,37,0.009418107875987786,0.00534950564594735,0.008611626923084259,0.000757883710321039,0.026959853246808052,0.00617403956130147,0.012554586865007877
gaussian_medium,archived_original,fixed_0.02,0.02,1,gamma_1,mid,400,0.027184826925804373,0.01584290715952184,0.02430757600814104,0.0012035247636958957,0.08436768501996994,0.01603120332583785,0.036493247374892235
gaussian_medium,archived_original,fixed_0.02,0.02,1,gamma_1,low,3563,0.05506403691155866,0.031619407553930765,0.0500202514231205,0.0009373320499435067,0.23916882276535034,0.03162802942097187,0.07295357808470726
gaussian_medium,archived_original,fixed_0.02,0.02,2,noisy,high,37,0.005147957438099626,0.0015364130452185996,0.0057406947016716,0.0016955116298049688,0.007079666946083307,0.003779937280341983,0.006517678964883089
gaussian_medium,archived_original,fixed_0.02,0.02,2,noisy,mid,400,0.017097979376558214,0.004585163682649909,0.017698667012155056,0.007150203455239534,0.02406563051044941,0.013358427910134196,0.02102242223918438
gaussian_medium,archived_original,fixed_0.02,0.02,2,noisy,low,3563,0.068267364407791,0.02907196681092877,0.0636676698923111,0.02408016100525856,0.19743014872074127,0.04512957111001015,0.087156742811203
