degradation,coarse_method,alpha,ADE,FDE,RMSE,masked_ADE,masked_RMSE,off_map_ratio,wall_crossing_count,coarse_ADE,coarse_masked_ADE,improvement_ADE,improvement_masked_ADE,improves_over_identity,improves_over_light_savgol
missing_only,kalman_cv_dt1.0_q1e-3_r1e-2,0.0,0.009910425171256065,0.00644536642357707,0.015800541266798973,0.031485822051763535,0.0337829627096653,6.375959859174451e-05,0.0,0.009910425171256065,0.031485822051763535,0.0,0.0,0.0,0.0
missing_only,kalman_cv_dt1.0_q1e-3_r1e-2,0.05,0.009906408376991749,0.00644536642357707,0.015511643141508102,0.031465739011764526,0.03310677036643028,5.821528567072325e-05,0.0,0.009910425171256065,0.031485822051763535,0.0004053099836691934,0.0006378439148258897,1.0,0.0
missing_only,kalman_cv_dt1.0_q1e-3_r1e-2,0.1,0.010066750459372997,0.00644536642357707,0.015425029210746288,0.03226744756102562,0.032903797924518585,5.267097274970199e-05,0.0,0.009910425171256065,0.031485822051763535,-0.015773822557112245,-0.024824681660751042,0.0,0.0
missing_only,kalman_cv_dt1.0_q1e-3_r1e-2,0.25,0.011262801475822926,0.00644536642357707,0.01637350767850876,0.03824769705533981,0.03512066975235939,4.158234690765947e-05,0.0,0.009910425171256065,0.031485822051763535,-0.13645996828564497,-0.21475936033874468,0.0,0.0
missing_only,kalman_cv_dt1.0_q1e-3_r1e-2,0.5,0.014635581523180008,0.00644536642357707,0.021111341193318367,0.055111609399318695,0.04605916142463684,2.494940814459568e-05,0.0,0.009910425171256065,0.031485822051763535,-0.47678644157756833,-0.7503627286184155,0.0,0.0
missing_only,kalman_cv_dt1.0_q1e-3_r1e-2,0.75,0.01883089914917946,0.00644536642357707,0.027972277253866196,0.07608816027641296,0.06168666109442711,6.653175505225515e-05,0.0,0.009910425171256065,0.031485822051763535,-0.9001101187662564,-1.4165848409903985,0.0,0.0
missing_only,kalman_cv_dt1.0_q1e-3_r1e-2,1.0,0.023405078798532486,0.00644536642357707,0.03575430437922478,0.09895908087491989,0.07927706837654114,0.00010534194549940398,0.0,0.009910425171256065,0.031485822051763535,-1.3616624306307217,-2.142972754918976,0.0,0.0
missing_only,linear_interp,0.0,0.0017167336773127317,0.0,0.004085716791450977,0.008583666756749153,0.009135940112173557,0.0,0.0,0.0017167336773127317,0.008583666756749153,0.0,0.0,0.0,0.0
missing_only,linear_interp,0.05,0.002202175557613373,0.0,0.004684217739850283,0.011010880582034588,0.010474229231476784,0.0,0.0,0.0017167336773127317,0.008583666756749153,-0.2827706398004154,-0.28277120886327145,0.0,0.0
missing_only,linear_interp,0.1,0.002943530911579728,0.0,0.0057653519324958324,0.014717653393745422,0.012891718186438084,0.0,0.0,0.0017167336773127317,0.008583666756749153,-0.7146112705072277,-0.7146114604429683,0.0,0.0
missing_only,linear_interp,0.25,0.005591039080172777,0.0,0.010169711895287037,0.027955200523138046,0.022740164771676064,0.0,0.0,0.0017167336773127317,0.008583666756749153,-2.2567888392127555,-2.2567900543386625,0.0,0.0
missing_only,linear_interp,0.5,0.01034511812031269,0.0,0.018476136028766632,0.051725585013628006,0.04131389781832695,0.0,0.0,0.0017167336773127317,0.008583666756749153,-5.026047171455445,-5.026047664648361,0.0,0.0
missing_only,linear_interp,0.75,0.015197187662124634,0.0,0.027028260752558708,0.07598594576120377,0.060437027364969254,3.465195575638289e-05,0.0,0.0017167336773127317,0.008583666756749153,-7.8523851212107445,-7.85238767004295,0.0,0.0
missing_only,linear_interp,1.0,0.020078685134649277,0.0,0.03564969822764397,0.10039340704679489,0.07971514016389847,6.930391151276578e-05,0.0,0.0017167336773127317,0.008583666756749153,-10.695864885739995,-10.695864936492054,0.0,0.0
missing_only,savgol_w5_p2,0.0,0.002510171150788665,0.000710330146830529,0.004136533476412296,0.008261864073574543,0.00888402946293354,2.772156460510631e-06,0.0,0.002510171150788665,0.008261864073574543,0.0,0.0,0.0,0.0
missing_only,savgol_w5_p2,0.05,0.003002528101205826,0.000710330146830529,0.004717565141618252,0.010723650455474854,0.010229785926640034,2.772156460510631e-06,0.0,0.002510171150788665,0.008261864073574543,-0.19614477294206353,-0.2979698479637664,0.0,0.0
missing_only,savgol_w5_p2,0.1,0.0037533326540142298,0.000710330146830529,0.005783987697213888,0.01447767298668623,0.012674542143940926,2.772156460510631e-06,0.0,0.002510171150788665,0.008261864073574543,-0.4952496975494993,-0.7523494525881713,0.0,0.0
missing_only,savgol_w5_p2,0.25,0.006416249554604292,0.000710330146830529,0.010167570784687996,0.027792252600193024,0.022589130327105522,2.772156460510631e-06,0.0,0.002510171150788665,0.008261864073574543,-1.5561004286852653,-2.3639203396103015,0.0,0.0
missing_only,savgol_w5_p2,0.5,0.011180978268384933,0.000710330146830529,0.018466532230377197,0.0516158863902092,0.041212085634469986,2.772156460510631e-06,0.0,0.002510171150788665,0.008261864073574543,-3.454269289515182,-5.24748675729269,0.0,0.0
missing_only,savgol_w5_p2,0.75,0.016038551926612854,0.000710330146830529,0.027018720284104347,0.0759037658572197,0.06036080792546272,3.742411221689352e-05,0.0,0.002510171150788665,0.008261864073574543,-5.389425645965909,-8.187244571112812,0.0,0.0
missing_only,savgol_w5_p2,1.0,0.020923970267176628,0.000710330146830529,0.035642318427562714,0.10033086687326431,0.07965704053640366,7.207606797327641e-05,0.0,0.002510171150788665,0.008261864073574543,-7.335674744968117,-11.1438534911475,0.0,0.0
