degradation,zeta,seed,trajectory_id,finite,first_nonfinite_step,first_nonfinite_stage,max_grad_norm,max_update_to_x_ratio,update_to_x_ratio_t99,update_to_x_ratio_t80,update_to_x_ratio_t60,update_to_x_ratio_t40,update_to_x_ratio_t20,update_to_x_ratio_t0
gaussian_medium,0.3,42,35,True,,none,28.08802604675293,1.5072731753464095,0.03545720508970051,0.024263355096016907,0.07823955946771946,0.053940006456866606,0.8543812096237745,1.468948394539198
gaussian_medium,0.3,42,36,True,,none,29.111095428466797,1.4394422885780815,0.13162926689714816,0.08960798171157645,0.08262013464410353,0.17196408180905967,0.7986617768842621,1.2393116414954006
gaussian_medium,0.3,42,37,True,,none,28.921085357666016,1.264011994084468,0.13135732854924573,0.07312222785030774,0.03686677250233007,0.24555952794928074,1.0796390955428397,1.264011994084468
gaussian_medium,0.3,42,38,True,,none,28.91655731201172,1.7709609268029944,0.039269421853745386,0.02980422487141752,0.06289767907271605,0.08945905690706216,0.8377828949940869,1.6783619942151289
gaussian_medium,0.3,42,39,True,,none,28.292173385620117,1.8238206278969396,0.09051001377920702,0.0179851589186325,0.03315934564560641,0.03976670515164548,0.7587727966996366,1.5401247231433792
gaussian_medium,0.3,42,40,True,,none,28.95856285095215,1.749509643972268,0.10786582262018475,0.037156419032221326,0.047877991421840314,0.04210603834135259,0.6039341419925301,1.749509643972268
gaussian_medium,0.3,42,41,True,,none,29.67535400390625,2.027111489125421,0.08347644712186993,0.03047356943661901,0.07501889845796433,0.1304977368406737,0.9774343577070581,1.9239033615225063
gaussian_medium,0.3,42,42,True,,none,28.391613006591797,1.6600633419959312,0.12360525940600865,0.036398742080609184,0.05903483813354513,0.09726777133419182,0.6133624853464673,1.6416824026505712
gaussian_medium,0.3,42,43,True,,none,29.196073532104492,1.5541195049190903,0.050271029085207815,0.037589402089010765,0.046872742269905086,0.1055462999394946,0.8902049784499328,1.5037774165811442
gaussian_medium,0.3,42,44,True,,none,28.792112350463867,1.8405540067372679,0.07071787698451784,0.025636004632102964,0.015784874100969983,0.032549224477734826,0.5567713309882322,1.8308407578288122
gaussian_medium,0.3,42,45,True,,none,28.865013122558594,2.0200305412909714,0.10906695261868554,0.04242622787865232,0.057419035115831234,0.04558334471364415,0.8963160675485063,1.4368010494170793
gaussian_medium,0.3,42,46,True,,none,28.24591064453125,1.8559633831557758,0.05247402373260363,0.023763556335354145,0.03144009305594834,0.05218552069325384,0.9788032337206543,1.8557938078352265
gaussian_medium,0.3,42,47,True,,none,28.395261764526367,1.9073792528753437,0.06917212037807803,0.035677307800897826,0.056112823401605776,0.06229033940068514,0.742545482711336,1.6418078313057185
gaussian_medium,0.3,42,48,True,,none,27.969749450683594,1.8230518660767545,0.08662410621722856,0.04292594200698237,0.05631595841357459,0.08452280069378283,0.8849165916727073,1.8052573816128101
gaussian_medium,0.3,42,49,True,,none,28.736997604370117,2.0154963248522044,0.1051461049262319,0.050986834196348564,0.0691071171054985,0.12456897837739705,0.9172612946096554,1.3795738387481777
drift_medium,0.3,42,0,True,,none,27.265583038330078,2.2252470833329387,0.1468329894741041,0.037098278080686185,0.14143757025768983,0.5539132249328924,0.9964267466630499,1.7043578204515524
drift_medium,0.3,42,1,True,,none,26.575803756713867,2.2110176817991443,0.10929335524002848,0.13148756030922276,0.12634185888265723,0.27690070810269724,0.8313003848395603,1.9437731548968669
drift_medium,0.3,42,2,True,,none,27.86827850341797,2.141575045446251,0.09387320504594038,0.059748710366478615,0.06228293620209378,0.1990060558083638,0.956107828913394,2.063892217887376
drift_medium,0.3,42,3,True,,none,27.09674644470215,1.9137012624153147,0.10510391766780537,0.07449832006229294,0.1064122953373293,0.3736693319310408,1.2434191733072328,1.7476645679340561
drift_medium,0.3,42,4,True,,none,30.349254608154297,2.1546812783155267,0.0500240468619728,0.09309435698403076,0.12307069602278446,0.15754285302256668,1.2891108670339344,1.7050304200837494
drift_medium,0.3,42,5,True,,none,28.648889541625977,2.354231297168765,0.05850347778054368,0.04727563715301018,0.14654827096730885,0.227869368095887,1.3183560999147417,2.130523419201143
drift_medium,0.3,42,6,True,,none,26.521068572998047,2.226399417516963,0.0918719469197644,0.07395632696811291,0.02902490663970042,0.34165530358305296,1.3405118314119893,1.9081316231793366
drift_medium,0.3,42,7,True,,none,26.55806541442871,2.280814761977185,0.05359982446719335,0.12584818916197937,0.056167598841525945,0.2003319657553448,1.657511938532455,2.1928625391341265
