geometry_profile,source_family,experiment_id,degradation,coarse_method,method_name,refiner_name,alpha,output_path,evaluated_windows,off_map_ratio,boundary_violation_count,infeasible_transition_count,window_violation_count,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window,masked_infeasible_transition_count,masked_segment_count,masked_infeasible_transition_rate,total_points,total_segments,internal_wall_crossing_count,door_valid_crossing_count,door_crossing_valid_ratio
two_room_v1,phase1_baseline,span20_random_seed2,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed2/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,6.716526285216381e-05,37,383,249,0.009040081324426373,0.0007318434046195943,0.013905024687772292,301,137720,0.002185593958756898,550880,523336,2766,2437,0.881055676066522
two_room_v1,phase1_baseline,span20_random_seed2,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed2/linear_interp/results.npz,27544,0.0,0,15,15,0.0005445832123148417,2.866227433236009e-05,0.0005445832123148417,15,137720,0.00010891664246296834,550880,523336,2491,2476,0.9939783219590526
two_room_v1,phase1_baseline,span20_random_seed2,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed2/savgol_w5_p2/results.npz,27544,0.0,0,45,40,0.0014522218995062445,8.598682299708028e-05,0.0016337496369445252,18,137720,0.000130699970955562,550880,523336,2505,2460,0.9820359281437125
two_room_v1,phase1_baseline,span20_random_seed3,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed3/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,5.2643043857101365e-05,29,327,230,0.008350275922160906,0.00062483758044545,0.01187191402846355,247,137720,0.001793494045890212,550880,523336,2718,2436,0.8962472406181016
two_room_v1,phase1_baseline,span20_random_seed3,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed3/linear_interp/results.npz,27544,0.0,0,24,24,0.0008713331397037467,4.585963893177614e-05,0.0008713331397037467,24,137720,0.00017426662794074935,550880,523336,2491,2467,0.9903653151344841
two_room_v1,phase1_baseline,span20_random_seed3,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed3/savgol_w5_p2/results.npz,27544,0.0,0,47,43,0.0015611385419692129,8.980845957472828e-05,0.0017063607319198373,24,137720,0.00017426662794074935,550880,523336,2503,2456,0.9812225329604475
two_room_v1,phase1_baseline,span20_random_seed4,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed4/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,7.261109497531223e-05,40,398,262,0.009512053441765901,0.0007605056789519544,0.014449607900087133,321,137720,0.0023308161487075223,550880,523336,2761,2423,0.8775805867439334
two_room_v1,phase1_baseline,span20_random_seed4,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed4/linear_interp/results.npz,27544,0.0,0,18,18,0.00065349985477781,3.4394729198832105e-05,0.00065349985477781,18,137720,0.000130699970955562,550880,523336,2491,2473,0.9927739863508631
two_room_v1,phase1_baseline,span20_random_seed4,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed4/savgol_w5_p2/results.npz,27544,0.0,0,44,40,0.0014522218995062445,8.407600470825626e-05,0.001597444089456869,19,137720,0.00013796108045309325,550880,523336,2504,2460,0.9824281150159745
two_room_v1,phase1_baseline,span20_random_seed42,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed42/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,4.356665698518734e-05,24,361,256,0.009294220156839965,0.0006898054022654662,0.013106302643043856,268,137720,0.0019459773453383677,550880,523336,2765,2442,0.8831826401446654
