geometry_profile,source_family,experiment_id,degradation,coarse_method,method_name,refiner_name,alpha,evaluated_windows,boundary_violation_count,infeasible_transition_count,window_violation_count,masked_infeasible_transition_count,masked_segment_count,total_points,total_segments,internal_wall_crossing_count,door_valid_crossing_count,off_map_ratio,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window,masked_infeasible_transition_rate,door_crossing_valid_ratio
two_room_v1,phase1_baseline,span20_random_seed9,,,savgol_w5_p2,,,27544,0,47,43,24,137720,550880,523336,2502,2455,0.0,0.0015611385419692129,8.980845957472828e-05,0.0017063607319198373,0.00017426662794074935,0.981215027977618
two_room_v1,phase1_baseline,span30_fixed_seed42,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,110,721,426,645,192808,550880,523336,3052,2484,0.00019968051118210862,0.015466163229741505,0.0013776999862421084,0.02617629973860006,0.003345296875648313,0.8138925294888598
two_room_v1,phase1_baseline,span30_fixed_seed42,,,linear_interp,,,27544,0,42,42,42,192808,550880,523336,2491,2449,0.0,0.0015248329944815568,8.025436813060825e-05,0.0015248329944815568,0.00021783328492593667,0.9831393014853472
two_room_v1,phase1_baseline,span30_fixed_seed42,,,savgol_w5_p2,,,27544,0,65,60,42,192808,550880,523336,2504,2439,0.0,0.0021783328492593667,0.0001242031887735604,0.0023598605866976476,0.00021783328492593667,0.9740415335463258
two_room_v1,refinement,span20_fixed_seed42,missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,ddpm_prior_interface_v0,ddpm_prior_interface_v0,,27544,289,1001,687,239,137720,550880,523336,2224,1524,0.0005246151611966309,0.02494191112401975,0.00191272910711283,0.03634185303514377,0.0017354051699099622,0.685251798561151
two_room_v1,refinement,span20_fixed_seed42,missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,ddpm_prior_masked_blend_v2_alpha0.25,ddpm_prior_masked_blend_v2_alpha0.25,0.25,27544,101,940,785,275,137720,550880,523336,3122,2308,0.00018334301481266337,0.02849985477781005,0.0017961691914945657,0.03412721463839675,0.001996805111821086,0.7392696989109545
two_room_v1,refinement,span20_fixed_seed42,missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,ddpm_prior_masked_replace_v1,ddpm_prior_masked_replace_v1,,27544,127,983,799,318,137720,550880,523336,3394,2561,0.00023054022654661632,0.029008132442637235,0.0018783343779139978,0.03568835318036596,0.002309032820214929,0.7545668827342369
two_room_v1,refinement,span20_fixed_seed42,missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,identity_refiner,identity_refiner,,27544,102,1017,828,352,137720,550880,523336,3232,2341,0.00018515829218704617,0.030060993319779263,0.001943302199734014,0.03692274179494627,0.0025559105431309905,0.724319306930693
two_room_v1,refinement,span20_fixed_seed42,missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,light_savgol_refiner,light_savgol_refiner,,27544,95,965,802,280,137720,550880,523336,3169,2319,0.00017245135056636655,0.029117049085100204,0.0018439396487151657,0.03503485332558815,0.0020331106593087424,0.7317765856737141
two_room_v1,refinement,span20_fixed_seed42,missing_drift,linear_interp,ddpm_prior_interface_v0,ddpm_prior_interface_v0,,27544,277,1002,713,221,137720,550880,523336,2186,1467,0.0005028318327040372,0.02588585535869881,0.001914639925401654,0.03637815858263142,0.0016047051989544002,0.6710887465690759
