condition,trajectory_id,t,eps,L_zero,L_minus,L_plus,delta_L_minus,delta_L_plus,ADE_zero,ADE_minus,ADE_plus,accel_zero,accel_minus,accel_plus,grad_norm,x_norm,update_norm_minus,update_norm_plus,update_to_x_ratio_minus,update_to_x_ratio_plus,finite_minus,finite_plus
burst_medium,0,5,1e-07,3.0724899768829346,3.0724291801452637,3.0725581645965576,-6.079673767089844e-05,6.818771362304688e-05,0.0748378187417984,0.0748370885848999,0.07483860850334167,0.2693590521812439,0.26935911178588867,0.2693589925765991,26.16690444946289,7.370060920715332,2.616690444946289e-06,2.616690444946289e-06,3.5504325854228626e-07,3.5504325854228626e-07,True,True
burst_medium,0,5,1e-06,3.0724899768829346,3.071810007095337,3.0731780529022217,-0.0006799697875976562,0.0006880760192871094,0.0748378187417984,0.07482978701591492,0.07484593242406845,0.2693590521812439,0.2693590819835663,0.26935920119285583,26.16690444946289,7.370060920715332,2.6166904449462888e-05,2.6166904449462888e-05,3.5504325854228624e-06,3.5504325854228624e-06,True,True
burst_medium,0,5,1e-05,3.0724899768829346,3.065647602081299,3.0793423652648926,-0.006842374801635742,0.006852388381958008,0.0748378187417984,0.07475694268941879,0.07491879910230637,0.2693590521812439,0.2693588137626648,0.2693593204021454,26.16690444946289,7.370060920715332,0.0002616690444946289,0.0002616690444946289,3.550432585422863e-05,3.550432585422863e-05,True,True
burst_medium,0,5,0.0001,3.0724899768829346,3.004135847091675,3.141101837158203,-0.06835412979125977,0.06861186027526855,0.0748378187417984,0.07402913272380829,0.07564811408519745,0.2693590521812439,0.2693566083908081,0.2693614959716797,26.16690444946289,7.370060920715332,0.002616690444946289,0.002616690444946289,0.00035504325854228625,0.00035504325854228625,True,True
burst_medium,0,5,0.001,3.0724899768829346,2.405344247817993,3.768711566925049,-0.6671457290649414,0.6962215900421143,0.0748378187417984,0.06683817505836487,0.08301902562379837,0.2693590521812439,0.26933473348617554,0.26938050985336304,26.16690444946289,7.370060920715332,0.026166904449462892,0.026166904449462892,0.0035504325854228626,0.0035504325854228626,True,True
burst_medium,0,5,0.01,3.0724899768829346,4.8176469802856445,10.342476844787598,1.74515700340271,7.269986867904663,0.0748378187417984,0.07322239130735397,0.16112005710601807,0.2693590521812439,0.2691397964954376,0.2695653736591339,26.16690444946289,7.370060920715332,0.2616690444946289,0.2616690444946289,0.03550432585422863,0.03550432585422863,True,True
bias_medium,0,1,1e-07,1.0609413385391235,1.0608646869659424,1.0610144138336182,-7.665157318115234e-05,7.30752944946289e-05,0.157985657453537,0.15798601508140564,0.15798529982566833,0.24407245218753815,0.24407246708869934,0.24407248198986053,27.913421630859375,6.925895690917969,2.7913421630859374e-06,2.7913421630859374e-06,4.0302977227131264e-07,4.0302977227131264e-07,True,True
bias_medium,0,1,1e-06,1.0609413385391235,1.0601625442504883,1.061719298362732,-0.0007787942886352539,0.0007779598236083984,0.157985657453537,0.15798915922641754,0.15798220038414001,0.24407245218753815,0.24407239258289337,0.24407246708869934,27.913421630859375,6.925895690917969,2.7913421630859375e-05,2.7913421630859375e-05,4.0302977227131265e-06,4.0302977227131265e-06,True,True
bias_medium,0,1,1e-05,1.0609413385391235,1.053148865699768,1.0687315464019775,-0.007792472839355469,0.007790207862854004,0.157985657453537,0.15802046656608582,0.15795093774795532,0.24407245218753815,0.24407239258289337,0.24407246708869934,27.913421630859375,6.925895690917969,0.00027913421630859376,0.00027913421630859376,4.030297722713126e-05,4.030297722713126e-05,True,True
bias_medium,0,1,0.0001,1.0609413385391235,0.9832037091255188,1.1389955282211304,-0.07773762941360474,0.07805418968200684,0.157985657453537,0.1583370864391327,0.15764166414737701,0.24407245218753815,0.24407228827476501,0.2440727800130844,27.913421630859375,6.925895690917969,0.0027913421630859376,0.0027913421630859376,0.00040302977227131266,0.00040302977227131266,True,True
bias_medium,0,1,0.001,1.0609413385391235,0.3347000479698181,1.8487911224365234,-0.7262412905693054,0.7878497838973999,0.157985657453537,0.16181862354278564,0.1548868715763092,0.24407245218753815,0.24406938254833221,0.24407505989074707,27.913421630859375,6.925895690917969,0.027913421630859376,0.027913421630859376,0.004030297722713127,0.004030297722713127,True,True
bias_medium,0,1,0.01,1.0609413385391235,6.963135242462158,9.031506538391113,5.902193903923035,7.97056519985199,0.157985657453537,0.21843700110912323,0.16386379301548004,0.24407245218753815,0.24403156340122223,0.24409955739974976,27.913421630859375,6.925895690917969,0.27913421630859375,0.27913421630859375,0.04030297722713126,0.04030297722713126,True,True
bias_medium,0,3,1e-07,1.8836764097213745,1.8836032152175903,1.8837518692016602,-7.319450378417969e-05,7.545948028564453e-05,0.15702813863754272,0.15702833235263824,0.1570279598236084,0.24432030320167542,0.24432043731212616,0.24432037770748138,27.02675437927246,6.9362382888793945,2.702675437927246e-06,2.702675437927246e-06,3.89645702088977e-07,3.89645702088977e-07,True,True
bias_medium,0,3,1e-06,1.8836764097213745,1.8829463720321655,1.8844074010849,-0.0007300376892089844,0.0007309913635253906,0.15702813863754272,0.15703018009662628,0.15702609717845917,0.24432030320167542,0.24432030320167542,0.2443203628063202,27.02675437927246,6.9362382888793945,2.702675437927246e-05,2.702675437927246e-05,3.89645702088977e-06,3.89645702088977e-06,True,True
bias_medium,0,3,1e-05,1.8836764097213745,1.8763736486434937,1.8909776210784912,-0.007302761077880859,0.007301211357116699,0.15702813863754272,0.15704840421676636,0.15700790286064148,0.24432030320167542,0.24432027339935303,0.24432048201560974,27.02675437927246,6.9362382888793945,0.00027026754379272464,0.00027026754379272464,3.8964570208897706e-05,3.8964570208897706e-05,True,True
bias_medium,0,3,0.0001,1.8836764097213745,1.8107200860977173,1.9568300247192383,-0.07295632362365723,0.07315361499786377,0.15702813863754272,0.15723469853401184,0.15682901442050934,0.24432030320167542,0.24431924521923065,0.24432118237018585,27.02675437927246,6.9362382888793945,0.0027026754379272464,0.0027026754379272464,0.00038964570208897706,0.00038964570208897706,True,True
bias_medium,0,3,0.001,1.8836764097213745,1.1716179847717285,2.6223175525665283,-0.712058424949646,0.7386411428451538,0.15702813863754272,0.15941737592220306,0.15537144243717194,0.24432030320167542,0.24430948495864868,0.24433010816574097,27.02675437927246,6.9362382888793945,0.02702675437927246,0.02702675437927246,0.0038964570208897703,0.0038964570208897703,True,True
