method,condition,metric,N,mean,std,median,min,max,p05,p25,p75,p95,source_file
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed43,FDE,36073,0.0063840528018772,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed43,RMSE,36073,0.0147594744339585,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed43,masked_ADE,36073,0.0279502905905246,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed43,masked_RMSE,36073,0.0312342271208763,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed43,off_map_ratio,36073,7.623430266404236e-05,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed43,wall_crossing_count,36073,0,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed44,ADE,36073,0.0093031236901879,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed44,FDE,36073,0.0063836830668151,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed44,RMSE,36073,0.0146779920905828,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed44,masked_ADE,36073,0.0277351252734661,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed44,masked_RMSE,36073,0.0310323759913444,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed44,off_map_ratio,36073,4.989881628919136e-05,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed44,wall_crossing_count,36073,0,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span30_fixed_seed42,ADE,36073,0.0163661465048789,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span30_fixed_seed42,FDE,36073,0.0063067581504583,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span30_fixed_seed42,RMSE,36073,0.0272873137146234,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span30_fixed_seed42,masked_ADE,36073,0.0448223352432251,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span30_fixed_seed42,masked_RMSE,36073,0.0492563769221305,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
