method,degradation,curve_group,ADE_mean,ADE_std,ADE_median,ADE_p25,ADE_p75,RMSE_mean,RMSE_std,RMSE_median,RMSE_p25,RMSE_p75,smooth_mean,smooth_std,smooth_median,smooth_p25,smooth_p75,n_traj,n_seed
noisy_input,combined_medium,high_curve,0.26845958828926086,0.0760325938463211,0.25540897250175476,0.21350057423114777,0.3067827820777893,0.2924058139324188,0.07675358653068542,0.2774030864238739,0.23661395907402039,0.32908955216407776,0.3988715708255768,0.06215984374284744,0.3995724320411682,0.3607728183269501,0.435910165309906,333,1
kalman_cv,combined_medium,low_curve,0.23298051953315735,0.09251222759485245,0.2121441662311554,0.16886213421821594,0.28447502851486206,0.24911487102508545,0.09377740323543549,0.2301146537065506,0.18424192070960999,0.3003478944301605,0.020589103922247887,0.006802150048315525,0.02115676924586296,0.01597697287797928,0.025502309203147888,333,1
kalman_cv,combined_medium,mid_curve,0.2531057894229889,0.09070752561092377,0.23720216751098633,0.18504303693771362,0.29709428548812866,0.274088978767395,0.0921996608376503,0.2555612325668335,0.20854789018630981,0.31721231341362,0.02712944708764553,0.006724121514707804,0.02675114944577217,0.02222592756152153,0.03154989704489708,334,1
kalman_cv,combined_medium,high_curve,0.27346429228782654,0.07723550498485565,0.26255354285240173,0.2202809602022171,0.3118661046028137,0.2987495958805084,0.07722765952348709,0.2870953381061554,0.2455204278230667,0.3376035988330841,0.030641306191682816,0.007528761401772499,0.030139949172735214,0.025085875764489174,0.035673897713422775,333,1
ddpm_eth_sdedit,combined_medium,low_curve,2.0113697052001953,0.5184623003005981,1.9352006912231445,1.6217153072357178,2.3344802856445312,2.2976584434509277,0.5942807197570801,2.2124886512756348,1.8551857471466064,2.6761672496795654,0.04087226465344429,0.007199656683951616,0.040923528373241425,0.03649790957570076,0.04528015851974487,333,5
ddpm_eth_sdedit,combined_medium,mid_curve,2.04508376121521,0.5077110528945923,2.03139591217041,1.7037343978881836,2.3610005378723145,2.330042600631714,0.5772889852523804,2.3256473541259766,1.9267622232437134,2.6749682426452637,0.040682706981897354,0.006632831878960133,0.04020647704601288,0.03583119064569473,0.045217085629701614,334,5
ddpm_eth_sdedit,combined_medium,high_curve,1.9337213039398193,0.45662641525268555,1.8763885498046875,1.6270620822906494,2.199547529220581,2.206385612487793,0.5223193168640137,2.1539320945739746,1.8429492712020874,2.504936695098877,0.040457915514707565,0.0068167126737535,0.040281057357788086,0.03621857985854149,0.044993918389081955,333,5
ddpm_finetuned_sdedit,combined_medium,low_curve,1.4938386678695679,0.3356991410255432,1.4544379711151123,1.2721201181411743,1.7041507959365845,1.6749205589294434,0.37137651443481445,1.6352123022079468,1.428139567375183,1.90596604347229,0.06829236447811127,0.012452004477381706,0.06819690763950348,0.0591767318546772,0.07736001908779144,333,5
ddpm_finetuned_sdedit,combined_medium,mid_curve,1.498226523399353,0.33082959055900574,1.4667797088623047,1.252685308456421,1.6781928539276123,1.6757380962371826,0.3595317304134369,1.637270212173462,1.3977442979812622,1.8727126121520996,0.06708576530218124,0.012119537219405174,0.06691136956214905,0.05887993425130844,0.07402008771896362,334,5
ddpm_finetuned_sdedit,combined_medium,high_curve,1.4221408367156982,0.3013651371002197,1.3857181072235107,1.1993387937545776,1.6199750900268555,1.5902979373931885,0.3301454484462738,1.5643689632415771,1.3339004516601562,1.7982356548309326,0.06824478507041931,0.011818770319223404,0.06801056861877441,0.060320865362882614,0.07602259516716003,333,5
