trajectory_id,ADE_noisy,ADE_cond,ADE_improvement_noisy_minus_cond,offset_noisy_x,offset_noisy_y,offset_cond_x,offset_cond_y,offset_norm_noisy,offset_norm_cond,offset_norm_improvement,offset_norm_rel_improvement,global_correction_cosine,global_correction_ratio,shape_centered_ADE_noisy,shape_centered_ADE_cond,shape_centered_ADE_improvement
106,0.12471695989370346,0.12639553844928741,-0.0016785785555839539,0.02830294892191887,-0.12146300077438354,0.013195949606597424,-0.125461608171463,0.12471694499254227,0.12615366280078888,-0.0014367178082466125,-0.01151982881128788,-0.029815688729286194,0.1253015697002411,8.143852170405808e-08,0.011346140876412392,-0.0113460598513484
107,0.2512781023979187,0.24256613850593567,0.008711963891983032,0.2509220242500305,-0.01337401568889618,0.24234700202941895,-0.005796590354293585,0.25127819180488586,0.24241632223129272,0.00886186957359314,0.035267166793346405,0.7835308313369751,0.045540131628513336,7.88182461519682e-08,0.013532303273677826,-0.013532224111258984
108,0.13414828479290009,0.11766090244054794,0.016487382352352142,0.010149282403290272,0.13376379013061523,0.028287041932344437,0.11251769214868546,0.1341482698917389,0.11601891368627548,0.01812935620546341,0.1351441740989685,0.7092471122741699,0.20824122428894043,3.010045901419289e-08,0.01933101937174797,-0.019330989569425583
109,0.3428463339805603,0.3264257311820984,0.016420602798461914,-0.29768747091293335,-0.1700758934020996,-0.2823542654514313,-0.1635136753320694,0.3428463637828827,0.3262830972671509,0.01656326651573181,0.04831104725599289,0.9934318661689758,0.04864677041769028,6.470855851148372e-08,0.016451232135295868,-0.016451166942715645
110,0.14536991715431213,0.13342627882957458,0.011943638324737549,-0.14519119262695312,-0.0072059957310557365,-0.13206619024276733,-0.011357801966369152,0.14536990225315094,0.13255368173122406,0.01281622052192688,0.08816281706094742,0.9373127818107605,0.09469650685787201,4.2561442370470104e-08,0.016513343900442123,-0.01651330105960369
111,0.2285647839307785,0.22532883286476135,0.003235951066017151,0.21865391731262207,0.06657575815916061,0.21390362083911896,0.06954654306173325,0.2285647988319397,0.22492550313472748,0.0036392956972122192,0.01592238061130047,0.6566401720046997,0.02451278455555439,1.0430812658057675e-08,0.015467746183276176,-0.015467735938727856
112,0.14771676063537598,0.16654452681541443,-0.018827766180038452,0.13490796089172363,-0.060167163610458374,0.14077778160572052,-0.08790986984968185,0.14771677553653717,0.16597147285938263,-0.01825469732284546,-0.12357904016971588,-0.587541401386261,0.1919679045677185,4.745750459278497e-08,0.020571690052747726,-0.020571643486618996
113,0.2175866663455963,0.21205787360668182,0.00552879273891449,0.06229959800839424,-0.20847709476947784,0.06484483182430267,-0.20120444893836975,0.21758662164211273,0.21139554679393768,0.006191074848175049,0.02845337986946106,0.8097711205482483,0.035412173718214035,5.30363806205969e-08,0.022105950862169266,-0.022105898708105087
114,0.031335555016994476,0.04788205400109291,-0.016546498984098434,-0.02975025773048401,0.009840691462159157,-0.04415476694703102,-0.0077116056345403194,0.031335555016994476,0.04482312500476837,-0.013487569987773895,-0.4304238557815552,-0.3595314919948578,0.7246156930923462,6.828167897765525e-08,0.0167103074491024,-0.01671023853123188
115,0.1568879783153534,0.1460496336221695,0.010838344693183899,0.02900167740881443,-0.15418410301208496,-0.007874648086726665,-0.14277268946170807,0.1568879634141922,0.14298969507217407,0.013898268342018127,0.0885872170329094,0.46711909770965576,0.24604566395282745,2.0489096641540527e-08,0.02665148302912712,-0.02665146254003048
