condition,seed,zeta,N,ADE,RMSE,acceleration_RMS,high_conf_ADE,mid_conf_ADE,low_conf_ADE,E3_fused_ADE,E3_fused_acceleration_RMS,E3_fused_high_conf_ADE,E3_fused_mid_conf_ADE,E3_fused_low_conf_ADE,win_rate_vs_E3_fused,ADE_delta_vs_E3_fused,ADE_ratio_vs_E3_fused,high_conf_delta_vs_E3_fused,high_conf_ratio_vs_E3_fused,acceleration_ratio_vs_E3_fused,likelihood_norm_before_DPS,likelihood_norm_after_DPS,likelihood_delta_after_minus_before,likelihood_decreased,update_to_x_ratio,finite,nan_inf_cases
burst_medium,44,0.3,1000,0.9692978858947754,1.0958647727966309,0.43009814620018005,0.9656485915184021,0.951869010925293,0.9928256273269653,0.07149259746074677,0.4418436288833618,0.0033015089575201273,0.011382248252630234,0.16609646379947662,0.0,0.8978052735328674,13.55801773071289,0.962347082560882,292.4870427259821,0.9734171032905579,0.635937511920929,76.91144561767578,76.27550506591797,False,4.236581802368164,True,0
burst_medium,42,1.0,1000,3.0693650245666504,3.4705400466918945,0.49944525957107544,3.179598569869995,3.0536904335021973,3.063047409057617,0.07149259746074677,0.4418436288833618,0.0033015089575201273,0.011382248252630234,0.16609646379947662,0.0,2.9978723526000977,42.9326286315918,3.176297060912475,963.0743429084308,1.130366563796997,0.635937511920929,245.65919494628906,245.02325439453125,False,9.23875904083252,True,0
burst_medium,43,1.0,1000,3.0872206687927246,3.4922783374786377,0.4978977143764496,3.1806092262268066,3.058377265930176,3.1020891666412354,0.07149259746074677,0.4418436288833618,0.0033015089575201273,0.011382248252630234,0.16609646379947662,0.0,3.015727996826172,43.18238067626953,3.1773077172692865,963.3804624343251,1.1268640756607056,0.635937511920929,246.96388244628906,246.32794189453125,False,10.218640327453613,True,0
burst_medium,44,1.0,1000,2.987379789352417,3.3791890144348145,0.49868956208229065,3.011667490005493,2.9550745487213135,3.0234737396240234,0.07149259746074677,0.4418436288833618,0.0033015089575201273,0.011382248252630234,0.16609646379947662,0.0,2.9158871173858643,41.78586196899414,3.008365981047973,912.2093953873917,1.128656268119812,0.635937511920929,238.93186950683594,238.29592895507812,False,13.268162727355957,True,0
burst_medium,42,3.0,1000,9.42766284942627,10.63705825805664,0.7055224776268005,9.746588706970215,9.37923526763916,9.413383483886719,0.07149259746074677,0.4418436288833618,0.0033015089575201273,0.011382248252630234,0.16609646379947662,0.0,9.356170654296875,131.86907958984375,9.743287198012695,2952.1618242984264,1.5967695713043213,0.635937511920929,753.211669921875,752.5757446289062,False,27.716276168823242,True,0
burst_medium,43,3.0,1000,9.476030349731445,10.697617530822754,0.6964725255966187,9.788262367248535,9.402029991149902,9.496594429016113,0.07149259746074677,0.4418436288833618,0.0033015089575201273,0.011382248252630234,0.16609646379947662,0.0,9.40453815460205,132.5456085205078,9.784960858291015,2964.784434388094,1.5762873888015747,0.635937511920929,757.0964965820312,756.4605712890625,False,30.655920028686523,True,0
burst_medium,44,3.0,1000,9.171213150024414,10.34900951385498,0.7048699855804443,9.24679946899414,9.080866813659668,9.270297050476074,0.07149259746074677,0.4418436288833618,0.0033015089575201273,0.011382248252630234,0.16609646379947662,0.0,9.09972095489502,128.28199768066406,9.24349796003662,2800.7797610035013,1.5952928066253662,0.635937511920929,732.15380859375,731.5178833007812,False,39.804481506347656,True,0
bias_medium,42,0.3,1000,0.9441217184066772,1.0516425371170044,0.22995196282863617,1.0433448553085327,0.948842465877533,0.9160163402557373,0.18705998361110687,0.20567038655281067,0.04062176123261452,0.13735774159431458,0.2899780571460724,0.018,0.7570617198944092,5.0471601486206055,1.0027230940759182,25.684382548899652,1.11806058883667,0.19650842249393463,73.8156509399414,73.619140625,False,8.579856872558594,True,0
bias_medium,43,0.3,1000,0.9381462335586548,1.0451310873031616,0.2299213856458664,0.8981565833091736,0.980316698551178,0.8861111998558044,0.18705998361110687,0.20567038655281067,0.04062176123261452,0.13735774159431458,0.2899780571460724,0.019,0.7510862350463867,5.015215873718262,0.8575348220765591,22.11023244821938,1.1179119348526,0.19650842249393463,73.32159423828125,73.12508392333984,False,8.508782386779785,True,0
bias_medium,44,0.3,1000,0.8928248286247253,0.993698239326477,0.23101776838302612,0.9422804713249207,0.9129206538200378,0.8533080220222473,0.18705998361110687,0.20567038655281067,0.04062176123261452,0.13735774159431458,0.2899780571460724,0.017,0.7057648301124573,4.772933483123779,0.9016587100923061,23.19644551916621,1.123242735862732,0.19650842249393463,69.56001281738281,69.3635025024414,False,9.048129081726074,True,0
