condition,version,version_available,zeta,seed,trajectory_id,final_ADE,final_RMSE,final_acceleration_RMS,final_likelihood_norm,motion_usage_ratio,noisy_reversion_gap,ADE_high,ADE_low,finite,first_nonfinite_step,first_nonfinite_stage,max_update_to_x_ratio,baseline_zeta0_ADE,baseline_zeta0_likelihood_norm,baseline_zeta0_acceleration_RMS,likelihood_improves_vs_zeta0,ADE_improves_vs_zeta0,acceleration_increases_vs_zeta0
gaussian_medium,B_pre_step_guidance,True,1.0,42,1,6.851158142089844,7.3287248611450195,0.9813041687011719,489.96484375,13.708256316023816,5.606779098510742,3.8246796131134033,7.767938613891602,True,,none,1.6232305533348574,1.2652337551116943,9.576164245605469,0.13801537454128265,False,False,True
gaussian_medium,C_post_step_consistent,True,0.3,42,1,2.7146456241607666,2.7363860607147217,0.17587128281593323,119.77655792236328,3.537768222585286,1.4702668190002441,2.5162031650543213,2.692725896835327,True,,none,1.6699149252540444,1.2652337551116943,9.576164245605469,0.13801537454128265,False,False,True
gaussian_medium,C_post_step_consistent,True,1.0,42,1,4.894808769226074,5.621753692626953,0.5426863431930542,417.2691955566406,10.685720417976297,3.6504299640655518,1.1884123086929321,5.821680068969727,True,,none,1.8675889453781631,1.2652337551116943,9.576164245605469,0.13801537454128265,False,False,True
gaussian_medium,Z_no_guidance,True,0.0,42,2,1.2429015636444092,1.3156263828277588,0.530343234539032,6.631009578704834,1.8806728300812623,-0.042882680892944336,0.8018450140953064,0.8702394962310791,True,,none,0.0,1.2429015636444092,6.631009578704834,0.530343234539032,False,False,False
gaussian_medium,A_current_post_base_update,True,0.3,42,2,2.696108102798462,2.798305034637451,0.5365177392959595,135.59120178222656,4.080988910496164,1.4103238582611084,2.962172031402588,2.479935884475708,True,,none,1.929783961352731,1.2429015636444092,6.631009578704834,0.530343234539032,False,False,True
gaussian_medium,A_current_post_base_update,True,1.0,42,2,3.2877910137176514,3.7501654624938965,0.8995488286018372,319.24310302734375,9.84715387131785,2.002006769180298,5.325008392333984,3.8406434059143066,True,,none,2.697535679383641,1.2429015636444092,6.631009578704834,0.530343234539032,False,False,True
gaussian_medium,B_pre_step_guidance,True,0.3,42,2,2.6323752403259277,2.7283599376678467,0.5290958881378174,125.13038635253906,3.9718739741882385,1.3465909957885742,2.8600733280181885,2.3948869705200195,True,,none,1.7463882535228497,1.2429015636444092,6.631009578704834,0.530343234539032,False,False,False
gaussian_medium,B_pre_step_guidance,True,1.0,42,2,3.5842785835266113,4.1227707862854,0.6811519265174866,317.4237060546875,9.047844259960307,2.298494338989258,5.903684139251709,4.274438381195068,True,,none,2.6136520005609607,1.2429015636444092,6.631009578704834,0.530343234539032,False,False,True
gaussian_medium,C_post_step_consistent,True,0.3,42,2,2.6384992599487305,2.7340660095214844,0.5337527394294739,126.56825256347656,3.892162015787481,1.352715015411377,2.8645660877227783,2.4020586013793945,True,,none,1.8565716901391802,1.2429015636444092,6.631009578704834,0.530343234539032,False,False,True
gaussian_medium,C_post_step_consistent,True,1.0,42,2,7.0034027099609375,7.6051926612854,0.8600978255271912,461.161865234375,12.923249897589157,5.717618465423584,9.65815258026123,7.224655628204346,True,,none,2.1052896111089643,1.2429015636444092,6.631009578704834,0.530343234539032,False,False,True
