condition,method,t_start,tau_high,gamma,bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
bias_medium,fused_tau09_gamma1,1,0.9,1,low,1560,0.28812307119369507,0.06615547090768814,0.2746318578720093,0.20470425486564636,0.5542882084846497,0.24411502480506897,0.32087770104408264
bias_medium,fused_tau09_gamma2,1,0.9,2,high,220,0.042259443551301956,0.013448480516672134,0.04813915491104126,0.018506433814764023,0.061565034091472626,0.03154776245355606,0.05274436995387077
bias_medium,fused_tau09_gamma2,1,0.9,2,mid,2220,0.1339278221130371,0.037314895540475845,0.13308236002922058,0.07002916187047958,0.2093745619058609,0.1012813076376915,0.16440421342849731
bias_medium,fused_tau09_gamma2,1,0.9,2,low,1560,0.28810611367225647,0.06608708202838898,0.2747764587402344,0.20601999759674072,0.5542882084846497,0.24476787447929382,0.32074683904647827
jump_medium,fused_tau05_gamma1,3,0.5,1,high,986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump_medium,fused_tau05_gamma1,3,0.5,1,mid,1675,0.2773427665233612,0.044625621289014816,0.2795628309249878,0.18946067988872528,0.39914196729660034,0.2358596920967102,0.3139052093029022
jump_medium,fused_tau05_gamma1,3,0.5,1,low,1339,0.4164857566356659,0.03933726251125336,0.41788867115974426,0.3295949399471283,0.5102528929710388,0.3854702413082123,0.44613343477249146
jump_medium,fused_tau05_gamma2,3,0.5,2,high,986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump_medium,fused_tau05_gamma2,3,0.5,2,mid,1675,0.2802729904651642,0.04369848594069481,0.28495851159095764,0.2008207142353058,0.38545331358909607,0.23877614736557007,0.31745171546936035
jump_medium,fused_tau05_gamma2,3,0.5,2,low,1339,0.4195164740085602,0.03832721710205078,0.4208022952079773,0.3411899209022522,0.5051018595695496,0.3859400749206543,0.44936102628707886
jump_medium,fused_tau07_gamma1,3,0.7,1,high,986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump_medium,fused_tau07_gamma1,3,0.7,1,mid,1675,0.27694785594940186,0.0453375019133091,0.2795628309249878,0.17581121623516083,0.39914196729660034,0.2358596920967102,0.3139052093029022
jump_medium,fused_tau07_gamma1,3,0.7,1,low,1339,0.4164857566356659,0.03933726251125336,0.41788867115974426,0.3295949399471283,0.5102528929710388,0.3854702413082123,0.44613343477249146
jump_medium,fused_tau07_gamma2,3,0.7,2,high,986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump_medium,fused_tau07_gamma2,3,0.7,2,mid,1675,0.2800724506378174,0.04405661299824715,0.28495851159095764,0.18871484696865082,0.38545331358909607,0.23877614736557007,0.31745171546936035
jump_medium,fused_tau07_gamma2,3,0.7,2,low,1339,0.4195164740085602,0.03832721710205078,0.4208022952079773,0.3411899209022522,0.5051018595695496,0.3859400749206543,0.44936102628707886
jump_medium,fused_tau09_gamma1,3,0.9,1,high,986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump_medium,fused_tau09_gamma1,3,0.9,1,mid,1675,0.27694785594940186,0.0453375019133091,0.2795628309249878,0.17581121623516083,0.39914196729660034,0.2358596920967102,0.3139052093029022
jump_medium,fused_tau09_gamma1,3,0.9,1,low,1339,0.4164857566356659,0.03933726251125336,0.41788867115974426,0.3295949399471283,0.5102528929710388,0.3854702413082123,0.44613343477249146
jump_medium,fused_tau09_gamma2,3,0.9,2,high,986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump_medium,fused_tau09_gamma2,3,0.9,2,mid,1675,0.2800724506378174,0.04405661299824715,0.28495851159095764,0.18871484696865082,0.38545331358909607,0.23877614736557007,0.31745171546936035
jump_medium,fused_tau09_gamma2,3,0.9,2,low,1339,0.4195164740085602,0.03832721710205078,0.4208022952079773,0.3411899209022522,0.5051018595695496,0.3859400749206543,0.44936102628707886
combined_medium,fused_tau05_gamma1,1,0.5,1,high,290,0.044971123337745667,0.01567581482231617,0.04675613343715668,0.003591065527871251,0.06709586083889008,0.034627482295036316,0.058582257479429245
combined_medium,fused_tau05_gamma1,1,0.5,1,mid,2257,0.15022020041942596,0.043569374829530716,0.15027159452438354,0.06711292266845703,0.23605118691921234,0.11524786800146103,0.18719607591629028
combined_medium,fused_tau05_gamma1,1,0.5,1,low,1453,0.3046630918979645,0.06233503669500351,0.2901719808578491,0.21637429296970367,0.5709583163261414,0.2545337677001953,0.3417918384075165
combined_medium,fused_tau05_gamma2,1,0.5,2,high,290,0.044971123337745667,0.01567581482231617,0.04675613343715668,0.003591065527871251,0.06709586083889008,0.034627482295036316,0.058582257479429245
combined_medium,fused_tau05_gamma2,1,0.5,2,mid,2257,0.1502084732055664,0.04348896071314812,0.14996765553951263,0.06711292266845703,0.23226241767406464,0.11524786800146103,0.18737806379795074
combined_medium,fused_tau05_gamma2,1,0.5,2,low,1453,0.30481722950935364,0.06229352951049805,0.2896783947944641,0.21949853003025055,0.5709049701690674,0.254868745803833,0.341496080160141
combined_medium,fused_tau07_gamma1,1,0.7,1,high,290,0.044971123337745667,0.01567581482231617,0.04675613343715668,0.003591065527871251,0.06709586083889008,0.034627482295036316,0.058582257479429245
combined_medium,fused_tau07_gamma1,1,0.7,1,mid,2257,0.15028846263885498,0.0435175783932209,0.15027159452438354,0.06582647562026978,0.23605118691921234,0.114855095744133,0.18719607591629028
